Starting_Point,Ending_Point,PassCompletion,Team,TypeOfPass
"(37, 67)","(37, 67)",no pass attempted,Blue,Normal Pass
"(37, 67)","(37, 67)",no pass attempted,Blue,Normal Pass
"(37, 67)","(37, 67)",no pass attempted,Blue,Normal Pass
"(34, 66)","(34, 66)",no pass attempted,Green,Normal Pass
"(35, 64)","(35, 64)",no pass attempted,Green,Normal Pass
"(35, 64)","(35, 64)",no pass attempted,Green,Normal Pass
"(35, 64)","(35, 64)",no pass attempted,Green,Normal Pass
"(42, 65)","(42, 65)",no pass attempted,Green,Normal Pass
"(42, 65)","(42, 65)",no pass attempted,Green,Normal Pass
"(42, 65)","(42, 65)",no pass attempted,Green,Normal Pass
"(42, 65)","(42, 65)",no pass attempted,Green,Normal Pass
"(42, 65)","(42, 65)",no pass attempted,Green,Normal Pass
"(42, 65)","(42, 65)",no pass attempted,Green,Normal Pass
"(42, 65)","(42, 65)",no pass attempted,Green,Normal Pass
"(42, 65)","(42, 65)",no pass attempted,Green,Normal Pass
"(42, 65)","(42, 65)",no pass attempted,Green,Normal Pass
"(45, 58)","(61, 64)",pass incomplete,Blue,Normal Pass
"(61, 64)","(46, 58)",pass completed,Green,Normal Pass
"(46, 58)","(61, 63)",pass completed,Green,Normal Pass
"(61, 63)","(48, 58)",pass completed,Green,Normal Pass
"(48, 58)","(60, 63)",pass completed,Green,Normal Pass
"(61, 61)","(61, 61)",no pass attempted,Green,Normal Pass
"(63, 64)","(63, 64)",no pass attempted,Green,Normal Pass
"(62, 63)","(48, 75)",pass completed,Green,Normal Pass
"(47, 74)","(47, 74)",no pass attempted,Green,Normal Pass
"(45, 74)","(45, 74)",no pass attempted,Green,Normal Pass
"(48, 74)","(48, 74)",no pass attempted,Green,Normal Pass
"(48, 74)","(48, 74)",no pass attempted,Green,Normal Pass
"(48, 74)","(61, 67)",pass completed,Green,Normal Pass
"(61, 67)","(61, 67)",no pass attempted,Green,Normal Pass
"(61, 67)","(61, 67)",no pass attempted,Green,Normal Pass
"(61, 67)","(61, 67)",no pass attempted,Green,Normal Pass
"(61, 66)","(61, 66)",no pass attempted,Green,Normal Pass
"(61, 66)","(61, 66)",no pass attempted,Green,Normal Pass
"(61, 66)","(61, 66)",no pass attempted,Green,Normal Pass
"(61, 66)","(61, 66)",no pass attempted,Green,Normal Pass
"(61, 66)","(61, 66)",no pass attempted,Green,Normal Pass
"(61, 66)","(61, 66)",no pass attempted,Green,Normal Pass
"(61, 66)","(61, 66)",no pass attempted,Green,Normal Pass
"(61, 66)","(61, 66)",no pass attempted,Green,Normal Pass
"(61, 66)","(61, 66)",no pass attempted,Green,Normal Pass
"(61, 66)","(61, 66)",no pass attempted,Green,Normal Pass
"(61, 66)","(61, 66)",no pass attempted,Green,Normal Pass
"(61, 67)","(61, 67)",no pass attempted,Green,Normal Pass
"(60, 68)","(60, 68)",no pass attempted,Green,Normal Pass
"(60, 69)","(60, 69)",no pass attempted,Green,Normal Pass
"(60, 69)","(60, 69)",no pass attempted,Green,Normal Pass
"(60, 69)","(60, 69)",no pass attempted,Green,Normal Pass
"(60, 69)","(60, 69)",no pass attempted,Green,Normal Pass
"(60, 69)","(60, 69)",no pass attempted,Green,Normal Pass
"(59, 67)","(59, 67)",no pass attempted,Green,Normal Pass
"(59, 67)","(59, 67)",no pass attempted,Green,Normal Pass
"(59, 67)","(59, 67)",no pass attempted,Green,Normal Pass
